,licence_type,license_no,business_name,dba,street_address,zip_code,city,county,telephone_number,email,hours_of_operation,expiration_date
612,Dispensary,DAAA-8HUZ-F2AY,TSI Limited Liability Company,Atlas Organics,611 W HIGHPOINT DR suite 2000,74075,STILLWATER,Payne,(405) 612-2021,atlasorganicsok@gmail.com,Tuesday - Saturday 10am-6pm,2023-12-14
613,Dispensary,DAAA-MNXY-64N4,SAVANT CANNABIS LLC,SAVANT CANNABIS,4328 S MINGO RD,74146-4734,TULSA,Tulsa,(214) 317-3647,savantcannabis@gmail.com,10 AM - 8 PM,2023-10-18
614,Dispensary,DAAA-NJ6O-VSPK,Christopher Woodall,31 cannabis,1200 West Washington,74554,Krebs,Pittsburg,9183180348,cannabis31ok@gmail.com,24/7,2024-02-27
615,Dispensary,DAAA-A7R2-5OFP,"AF Enterprises, LLC",Reefer Madness Hybrids,,74955,SALLISAW,Sequoyah,(479) 462-2404,rmh420ok@gmail.com,10A-7P,2024-05-10
616,Dispensary,DAAA-N1DH-NTGD,Emily Jones Enterprises LLC,Mountain Fork Mary Jane,2100 E LINCOLN RD,74745-7357,IDABEL,McCurtain,5802362444,emilyjonesllc@gmail.com,monday-saturday 11am-7pm Sunday 11-4,2023-11-14
617,Dispensary,DAAA-4KDR-CACP,"Dynamo Dispensary, LLC","Dynamo Dispensary, LLC",,73103,Oklahoma City,Oklahoma,(406) 672-8110,mrhart3@gmail.com,,2024-03-24
618,Dispensary,DAAA-4J22-ZRDX,Eufloria Gypsy LLC,Eufloria Gypsy LLC,"303 North Martin Luther King, Junior Boulevard, Suite B",74103,Tulsa,Tulsa,9185046439,edangler2002@yahoo.com,0001-2359,2023-11-01
619,Dispensary,DAAA-KKUI-OYGQ,Spark cannabis Co.,Spark cannabis Co.,121 W MAIN ST,73005-2832,ANADARKO,Caddo,4055016795,singh.harp@icloud.com,9am to 9pm,2024-02-01
620,Dispensary,DAAA-PZC6-QPFK,"Starbuds Dispensary Ardmore, LLC","Starbuds Dispensary Ardmore, LLC",2502 CROSSROADS DR,73401-2503,ARDMORE,Carter,5806821374,licensing@jesglegal.com,Sun-Mon 8am to 12am,2023-09-18
621,Dispensary,DAAA-ZINC-NL8M,"Hi Octane Cannabis Company Roland, LLC","Hi Octane Cannabis Company Roland, LLC",,74954-5362,ROLAND,Sequoyah,(479) 719-2562,rickyd08@icloud.com,,2023-07-07
622,Dispensary,DAAA-JCPS-N4PX,Cannatopia LLC,Cannatopia LLC,,74133,Tulsa,Tulsa,9189574252,mlgramm@speedys66.com,9AM - 10PM,2023-11-07
623,Dispensary,DAAA-VJYZ-MPWC,Paper Planes LLC,Refined Flower,4260 STATE HIGHWAY 28,74342,EUCHA,Delaware,(918) 435-5355,thehallway999@gmail.com,Monday through Saturday 10-8 and Sunday 10-6,2023-10-31
624,Dispensary,DAAA-HZDX-PCZZ,Doobies_Guthrie LLC,Doobies_Guthrie LLC,,73044-5009,GUTHRIE,Logan,(405) 877-3065,guthrie@doobiesdispensaries.com,10A-9P Mon-Thu; 10A-10P Fri-Sat; 1P-5P Sun,2023-11-14
625,Dispensary,DAAA-VKBZ-TNSI,NUGZ LLC,NUGZ,1927 S GREEN AVE SUITE D,73080,Purcell,McClain,(405) 527-0009,nugzdispo@gmail.com,,2023-10-05
626,Dispensary,DAAA-6ZFW-UUHP,"TYCO, LLP",The Cannabis Cure,1735 S VIRGINIA AVE,74525-3912,ATOKA,Atoka,5125684873,ctyson31@yahoo.com,9 am to 9 p.m.,2023-01-04
627,Dispensary,DAAA-PYII-8WAB,ELLISON COMPANY,DOPE EXPRESS,2751 NW EXPRESSWAY,73112-7084,OKLAHOMA CITY,Oklahoma,4052103007,greenleafsupplyokc@gmail.com,10-8,2023-10-02
628,Dispensary,DAAA-N1J1-JY9V,"918 Buds Medical Marijuana Dispensary, LLC",918 Buds Medical Marijuana Dispensary LLC,7425 N PEORIA AVE,74126-1264,TULSA,Tulsa,9185516370,nataliejackson22@yahoo.com,8am-9pm,2024-05-26
629,Dispensary,DAAA-2UUA-3FBE,TCOB LLC.,Top Kush Only,1428 W BRITTON RD,73114-1316,OKLAHOMA CITY,Oklahoma,(405) 849-9655,topkushonly@gmail.com,10am-10pm,2023-08-15
630,Dispensary,DAAA-YCER-5YB8,Ganja Buds LLC,Ganja Buds LLC,8956 S WESTERN AVE,73139-9215,OKLAHOMA CITY,Oklahoma,5012586374,brewingtoncapital@gmail.com,10-10,2023-10-02
631,Dispensary,DAAA-5G6Y-W5MG,MOTHER NATURE'S PHARMACY LLC,MOTHER NATURE'S PHARMACY LLC,110 S MAIN ST,74959-2504,SPIRO,Le Flore,4795618844,mnpharm2021@gmail.com,10AM TO 8PM,2022-08-28
632,Dispensary,DAAA-4KHB-NZTS,"OHG, LLC","OHG, LLC",6908 S LEWIS AVE,74136,TULSA,Tulsa,9189732190,ohgokllc@gmail.com,8am - 8pm,2023-11-13
633,Dispensary,DAAA-NJVV-8MUN,Green Mountain Farms Distribution center Inc.,Stickys Buds and More #2,8657 north hwy 10,74464,Tahlequah,Cherokee,(580) 816-0078,jamie0011941@gmail.com,8 AM-8PM,2024-05-15
634,Dispensary,DAAA-HWYE-7WLN,Green medical patients LLC,Greendoctor 420,1278 N INTERSTATE DR,73072-3390,NORMAN,Cleveland,(405) 857-2091,chris@greendoc420.com,80,2023-10-24
635,Dispensary,DAAA-Q6YB-0P8U,"Flower and Leaf, LLC","Flower and Leaf, LLC",12325 N MAY AVE,73120-1961,OKLAHOMA CITY,Oklahoma,(405) 849-6014,405gasstation5@gmail.com,9am-10pm daily Sunday 10AM - 8PM,2023-11-20
636,Dispensary,DAAA-PH64-3TIY,"Harvest 5 Retail, Co.",The Leafy Sol,20 W MAIN ST,74801-6864,SHAWNEE,Pottawatomie,4052757201,bretsmithlmc@gmail.com,10a-6p,2023-08-30
637,Dispensary,DAAA-EK4Q-RMBD,Adapt Media Group,Likewise Cannabis - Broadway,412 South Broadway,73034,EDMOND,Oklahoma,4054122448,corbin@likewisecannabis.com,"Monday-Wednesday, 10:00AM-9:00PM, Thursday-Saturday, 10:00AM-1:00AM CLOSED Sunday",2024-01-13
638,Dispensary,DAAA-NK4M-BAMD,"Hi Octane Cannabis Company 2, LLC","Hi Octane Cannabis Company 2, LLC",,74955-3613,SALLISAW,Sequoyah,(479) 719-2562,rickyd08@icloud.com,,2023-08-08
639,Dispensary,DAAA-4JR6-EGIY,Integrated Supply Inc.,Wild Horse Dispensary,551 E STATE HIGHWAY 152 #2,73064-4523,Mustang,Canadian,4052566464,broncovapes@gmail.com,"Mon-Sat 10am-8pm, Sun 12pm-8pm",2023-08-09
640,Dispensary,DAAA-V1C8-VJDU,OZ Distribution and Sales LLC,OZ Dispensary,,73099-8373,YUKON,Canadian,4057406020,darren@ozdispensaryokc.com,Monday-Sunday10am-10pm,2024-02-01
641,Dispensary,DAAA-EJNQ-IBYL,Native Harvest LLC,Native Harvest LLC,901 ARLINGTON AVE.,74820-4034,ADA,Pontotoc,4052346525,marty@nativeharvestfarms.com,9:00 am - 10:00 PM,2024-10-03
642,Dispensary,DAAA-SFR9-JT4D,The lighthouse dispensary LLC,The lighthouse dispensary LLC,1412 SE 44TH ST,73129-6923,OKLAHOMA CITY,Oklahoma,(405) 992-2488,khill1287@gmail.com,24 hours,2024-05-29
643,Dispensary,DAAA-VKJF-K3OP,best leaf one inc,GANJA CITY,5323 W RENO AVE,73127-6331,OKLAHOMA CITY,Oklahoma,4056006653,drankokc@live.com,10am to 8pm,2024-03-16
644,Dispensary,DAAA-4KZH-MZTV,RandD Green Rx Inc,The Greens of Central Oklahoma,3401 NW 23RD ST,73107-1803,OKLAHOMA CITY,Oklahoma,2544850894,okcdisp@yahoo.com,10am - 8pm,2024-03-07
645,Dispensary,DAAA-V1AS-DMBS,BUDDY GREEN'S CANNABIS COMPANY LLC,BUDDY GREEN'S CANNABIS COMPANY LLC,8805 S WESTERN AVE,73139-9206,OKLAHOMA CITY,Oklahoma,4056598023,buddygreen66@gmail.com,10am-10pm,2024-08-04
646,Dispensary,DAAA-N1GZ-WRDU,Archipelago Operations LLC,Stash House,6810 NW 23RD ST,73008-5217,BETHANY,Oklahoma,(954) 214-0762,luigidedominicis@aol.com,10am to 9pm,2024-03-14
647,Dispensary,DAAA-4JR6-EDVY,"The Healing Hemp, LLC",The Healing Hemp,319 S 2ND ST,74960-3807,STILWELL,Adair,9186964034,thehealinghempllc@gmail.com,10 am - 8 pm,2022-09-25
648,Dispensary,DAAA-WEHI-LIAZ,little town farms llc,Little Town Farms,14 N 1ST ST,74875,TRYON,Lincoln,4057475155,dylanpayton415@yahoo.com,7-10,2022-11-23
649,Dispensary,DAAA-VJN1-MBQU,"Oklahoma Natural Cures 2, LLC",High Society Dispensary 2,935 SE 66TH ST,73149-2505,OKLAHOMA CITY,Oklahoma,(405) 493-9550,compliance@highsocietyok.com,10am -10pm,2023-10-13
650,Dispensary,DAAA-N1JS-XZWR,"Advanced Wellness and Dispensary, LLC","Advanced Wellness and Dispensary, LLC",2430 N 32ND ST,74401,MUSKOGEE,Muskogee,9189109333,advancedwellnessanddispensary@gmail.com,Sunday - Saturday 9am-9pm,2024-02-08
651,Dispensary,DAAA-NWEE-KLPV,Dream Road Inc,Pro-Med Dispensary,,74012-8905,BROKEN ARROW,Tulsa,9187244883,alexrrose34@gmail.com,9am to 9pm 7 days a week,2023-04-04
652,Dispensary,DAAA-CLIZ-QJFE,Blind Faith LLC,Blind Faith LLC,420 W CHICKASHA AVE,73018-2410,CHICKASHA,Grady,4057383196,mgreenstkc@gmail.com,10-10,2023-01-08
653,Dispensary,DAAA-V1WV-RCNF,MJ Wellness LLC,The Honeypot Shop,1035 36TH AVE NW,73072,NORMAN,Cleveland,4052172611,honeypotnorman@gmail.com,Monday - Sunday 10:00am - 10:00pm,2023-11-08
654,Dispensary,DAAA-AGFN-DULM,807 East A Street L.L.C.,High Society Dispensary 5,,74037,Jenks,Tulsa,(310) 279-9521,alansoleyman@yahoo.com,,2023-11-06
655,Dispensary,DAAA-NUW9-DWZK,"Bodega Boyz 61st, LLC","Bodega Boyz 61st, LLC",,74133-1908,TULSA,Tulsa,(516) 643-4004,parasc26@gmail.com,,2024-01-02
656,Dispensary,DAAA-0OQJ-I2WY,J&J MED CO LLC,J&J MED CO LLC,518 W MAIN ST,74002,BARNSDALL,Osage,(918) 561-6870,rayelean83@gmail.com,10AM-10PM,2023-03-29
657,Dispensary,DAAA-4JPF-KJHD,WEEDMEN,WEEDMEN,2929 W UNIVERSITY BLVD,74701-2978,DURANT,Bryan,5807754364,dustina4364@gmail.com,8:00 A.M. - 8:00 P.M.,2023-08-04
658,Dispensary,DAAA-VKPA-EO5S,"Jim’s Medicinal Marijuana, LLC",MO AND RELLS KUSH CLUB LLC,509 NE LINCOLN RD,74745-8127,IDABEL,McCurtain,(580) 212-5293,carolynroyal197@gmail.com,8 am to 1 Am,2024-11-01
659,Dispensary,DAAA-4YQK-HQ5Z,Hemp Station Dispensary LLC,Hemp Station Dispensary,64493 US HIGHWAY 60,74604-5078,PONCA CITY,Osage,(580) 304-3651,hempstationdispensary@gmail.com,11 am to 8 pm,2023-10-23
660,Dispensary,DAAA-NYXB-2ZCB,NEOK Pain Relief LLC,High Perior Dispensary,,74401-2284,MUSKOGEE,Muskogee,(832) 836-6046,neokpainreliefllc@gmail.com,10-8,2024-08-08
661,Dispensary,DAAA-VJYK-0W9W,Mathews Enterprises Medical LLC,Lotus Gold El Reno,1536 SW 27TH ST,73036,EL RENO,Canadian,4054732662,shawnpmh88@gmail.com,68 hrs/wk,2023-09-13
662,Dispensary,DAAA-EAGM-XR7O,Kesh 2 Lawton LLC,Mango Cannabis Lawton,1201 NW SHERIDAN RD,73505-5209,LAWTON,Comanche,(248) 961-6160,astrobud19@gmail.com,Sunday-Thursday 10am-10pm; Friday and Saturday 10am-12am,2023-09-15
663,Dispensary,DAAA-IENI-XLYC,"Medtime, LLC",MedTime LLC,4222 N MAY AVE,73112-6271,OKLAHOMA CITY,Oklahoma,(405) 724-7582,shellydboyd63@gmail.com,10am to 11pm,2023-10-31
664,Dispensary,DAAA-GC6Z-L1MV,powerhouse dispensary,powerhouse dispensary,308 E MAIN ST,73446-2243,MADILL,Marshall,4056695952,powerhousedisp@gmail.com,9:00am-5:00 pm,2023-11-06
665,Dispensary,DAAA-SP4Q-EZIR,Brandy M Myers,Medically Elevated Dispensary,118 S 10TH ST,73533-4902,DUNCAN,Stephens,5807862224,medicallyelevated@outlook.com,10:00am - 7:00pm Mon-Fri 11:00am - 5:00pm Sat Closed Sunday,2023-09-15
666,Dispensary,DAAA-VJMY-AVHZ,Jake's Beyond Bud Inc.,Jake's Beyond Bud Inc.,,74127-7342,TULSA,Tulsa,9185144208,jennaulrich@yahoo.com,10AM-7PM,2024-05-31
667,Dispensary,DAAA-NPP4-LIM7,Hometown Buds LLC,Hometown Buds LLC,419 E BROADWAY ST,74030,DRUMRIGHT,Creek,9189781396,hometownbuds420@gmail.com,"Mon-Thur 9am - 10pm, Friday and Saturday 9am-11pm, Sunday 10am-7pm",2024-05-11
668,Dispensary,DAAA-R8WO-PDIC,Liit Factory LLC,,,,OKLAHOMA CITY,Oklahoma,,,,2024-03-14
669,Dispensary,DAAA-AUAJ-W6OR,Twice Baked Edibles LLC,Green Plus,1009 SW 59TH ST,73109-4902,OKLAHOMA CITY,Oklahoma,(405) 589-9000,fritz@whitebox.net,Sunday-Saturday 9am - 9pm,2023-10-11
670,Dispensary,DAAA-RFSJ-6WIP,Banana Leaf LLC,Banana Leaf Llc,9100 S WALKER AVE,73139-8508,OKLAHOMA CITY,Cleveland,4054939241,hardin0513@gmail.com,7am-11pm,2024-02-01
671,Dispensary,DAAA-B1VG-ZWYI,High Stakes MMJ Dispensary LLC,Big Worms Dispensary,,74631,Blackwell,Kay,3166199670,bahlers@att.net,8:00-5:00,2024-05-21
672,Dispensary,DAAA-BXQD-VFWP,MEDICATED DISPENSARY LLC,MEDICATED DISPENSARY LLC,5937 S LEWIS AVE,74105-7134,TULSA,Tulsa,6193852703,austen_bethay@hotmail.com,8am - 12am,2023-09-19
673,Dispensary,DAAA-EY3A-N6CG,Cathey - Coghan Holdings LLC,What Dispensary?,303 S NOBLE AVE,73772,WATONGA,Blaine,5807911290,darylcathey@gmail.com,7 days a week 9am - 10pm,2024-04-25
674,Dispensary,DAAA-WAG2-5H0J,LAKE STOP CANNABIS LLC,LAKE STOP CANNABIS LLC,513 OAK ST,73439-8205,KINGSTON,Marshall,(405) 317-2650,lakestopmary@gmail.com,9:00am to 6:00pm,2023-08-18
675,Dispensary,DAAA-4JJ0-CCUB,The Treehouse 41 LLC,Treehouse Dispensary 41,1122 N MAIN ST,74401-4440,MUSKOGEE,Muskogee,(918) 910-5175,tamia.smith38@gmail.com,12A,2023-08-08
676,Dispensary,DAAA-4J0A-AQNE,Emerald Cut Cannabis Care Center LLC,Emerald Cut Cannabis Care Center LLC,405 S POCOLA BLVD,74902,POCOLA,Le Flore,(918) 436-6010,emeraldcutccc@gmail.com,Sunday-Saturday 24 hours 7 days a week,2024-05-22
677,Dispensary,DAAA-OGSC-DUML,VIBE 420 DISPENSARY LLC,VIBE 420 DISPENSARY LLC,5806 NW 63RD ST,73132-7735,WARR ACRES,Oklahoma,(405) 492-7190,vibe420llc@gmail.com,Monday-Saturday 10am-9pm; Closed Sunday,2023-07-18
678,Dispensary,DAAA-41BK-0GUL,CROYBL17 Limited Liability Company,House of Bud,,74115-8709,TULSA,Tulsa,(918) 932-8554,houseofbud17@gmail.com,,2023-11-17
679,Dispensary,DAAA-XY2Z-UVPU,"iZen Rx, llc","iZen,Rx",1324 SW 89TH ST,73159-6352,OKLAHOMA CITY,Cleveland,4054163995,dan@romriellinvest.com,10-10,2024-04-06
680,Dispensary,DAAA-NY37-IDFC,ELEVATE RX LLC,,,,DURANT,Bryan,,,,2023-09-26
681,Dispensary,DAAA-N1JJ-WFNH,Mr. Green LLC,Mr. Green LLC,,73071,Norman,Cleveland,(405) 821-8360,arabrito0788.ab@gmail.com,,2023-10-11
682,Dispensary,DAAA-ZCMY-PQHE,Kush Kountry LLC,The Galactic Giraffe,130 S WILSON ST,74301-3730,VINITA,Craig,(918) 944-0096,dmnz.brands@gmail.com,9am-10PM Sunday-Thursday 9am-11PM Friday & Saturday,2024-01-02
683,Dispensary,DAAA-IYDY-FBJZ,JCB Collective LLC,Okie OG Cannabis,3416 S YALE AVE,74135-8016,TULSA,Tulsa,(918) 932-8179,rtmarion1@gmail.com,10am-10pm,2024-02-01
684,Dispensary,DAAA-VYRZ-GPYB,Okie MMJ and Transport Service LLC,Okie Medical - MMJ Dispensary,431 1/2 W BROADWAY ST,74401-6614,MUSKOGEE,Muskogee,9186833733,smounger@hotmail.com,Monday thru Saturday 11:00am to 7:00pm,2023-12-12
685,Dispensary,DAAA-JOHO-J1DU,ReLeaf Medical Dispensary LLC,ReLeaf Medical Dispensary,12560 E 21ST ST,74129-1806,TULSA,Tulsa,9189860605,camcue2020@gmail.com,10am-9pm,2024-01-14
686,Dispensary,DAAA-EJ0L-0A13,Tulsa Tree House inc,TULSA TREE HOUSE INC,4604 N LEWIS AVE,74130-1936,TULSA,Tulsa,9183619810,tulsatreehouse@gmail.com,"24 hours, 7 days a week",2024-03-08
687,Dispensary,DAAA-41O2-5WGO,"Uncle John's Dispensary, LLC","Uncle John's Dispensary, LLC",11 S COUNCIL RD,73127-4970,OKLAHOMA CITY,Oklahoma,4058332208,kmueggenborg22@gmail.com,11am-8pm M-Sat,2024-05-03
688,Dispensary,DAAA-EJCC-QANO,"Misi Rising Group, LLC",Greenhouse Cure,100 SE 29TH ST,73129,OKLAHOMA CITY,Oklahoma,(405) 361-6984,greenhousecure2023@gmail.com,10am-7pm,2024-02-28
689,Dispensary,DAAA-41KK-CRUL,420 Riding Dirty Enterprise LLC,Starbuds Dispensary Altus,1100 FALCON RD,73521-2804,ALTUS,Jackson,5806821374,cannabislicensing@troutman.com,"M-R: 8-10; F,-Sat: 8-11; Sun: 8-8",2023-08-08
690,Dispensary,DAAA-KZCM-GRBV,"CR/LG Tulsa, LLC",LEMONNADE DISPENSARY TULSA,8010 E 106TH ST,74133-6612,TULSA,Tulsa,(539) 233-8705,compliance@cookiesre.com,11am- 9pm,2023-09-29
691,Dispensary,DAAA-JIQF-PCS9,Lake and Bake Shop LLC,Lake and Bake Shop LLC,1812 E MAIN ST,74462-2809,STIGLER,Haskell,9184704008,shawnburcham13@icloud.com,10-7,2024-01-14
692,Dispensary,DAAA-4KN9-NOOD,Med Pharm Inc,Med Pharm Inc,24683 E HIGHWAY 51,74014-3416,BROKEN ARROW,Wagoner,9182847875,denimink@aol.com,5am - 12 pm M-Sunday,2023-11-27
693,Dispensary,DAAA-VVPN-QJHV,"Bop Bop, LLC",Borderline Legal,1745 S 700 Rd,74363,Quapaw,Ottawa,4178259933,bopbopllc@gmail.com,10:00 a.m. - 10:00 p.m.,2023-10-24
694,Dispensary,DAAA-EYEK-CC2C,B's Love Budz LLC,B's Love Budz,2086 S I-35 SERVICE RD,73160-5512,MOORE,Cleveland,9189252135,blovebudz@gmail.com,Mon - Sat 10am-12am ; Sun 12pm-7pm,2023-12-07
695,Dispensary,DAAA-1GPR-S65L,High Rise Enterprises Inc.,High Rise Wellness,6434 NW 39TH EXPY,73008-2869,BETHANY,Oklahoma,(405) 974-0319,highrisewellnessok@gmail.com,8am-12am,2023-07-06
696,Dispensary,DAAA-VJIY-MUA7,"Dr Express Enterprises, LLC",Big Poppa's,,73030-2526,DAVIS,Murray,(580) 247-9153,bpdispodavis@gmail.com,,2024-04-14
697,Dispensary,DAAA-NIKM-7ABK,"TULSA HEALING COLLECTIVE, LLC","TULSA HEALING COLLECTIVE, LLC",,74127-8316,TULSA,Tulsa,3105676666,benhemila@gmail.com,24/7,2023-08-30
698,Dispensary,DAAA-GRFW-IJLW,"Endo Holdings, LLC",Headies Dispensary,7315 South Memorial Drive East,74133,Tulsa,Tulsa,(602) 456-2462,alfred@endo-holdings.com,9:00 AM to 10:00 PM 7 days a week,2024-01-09
699,Dispensary,DAAA-VKKQ-PAW7,Big Papa's LLC,Big Papa's LLC,4100 S 32ND ST W,74401-8982,MUSKOGEE,Muskogee,9189105309,rbepper@me.com,24 hours,2024-04-20
700,Dispensary,DAAA-NKS4-LZSK,The Royal Tree LLC,Euphora Modern Wellness,4903 E ADMIRAL PL,74115-8405,TULSA,Tulsa,2066050184,jjwildhaber@gmail.com,Mon - Sun 10AM to 8PM,2023-12-05
701,Dispensary,DAAA-E1XG-5MSN,Bee's Knee's Dispensary LLC,BEE'S KNEES DISPENSARY LLC,1604 LARCH AVE,73533-1739,DUNCAN,Stephens,5807210016,beeskneesd@gmail.com,86 hours a week,2023-12-23
702,Dispensary,DAAA-4KC1-BOF7,"NLIGHTN DISPENSARY, INC.",Texoma Labs Dispensary,2010 W MAIN ST,74701-4916,DURANT,Bryan,(580) 276-7360,ernie@texomalabs.com,10 AM to 8PM Monday through Sunday,2024-05-31
703,Dispensary,DAAA-WIW4-UFR9,Hugo Elite Green Leaf Concentrates LLC,Hugo Elite Green Leaf Concentrates LLC,126 East Jackson Street,74743,Hugo,Choctaw,5802987609,dmiller090369@gmail.com,9am-9pm,2023-11-14
704,Dispensary,DAAA-EYWE-EJJH,Ipot Shop LLC,Ipot Shop LLC,117 SW C AVE,73501-4013,LAWTON,Comanche,5809178136,ipotshop420@gmail.com,"10am-7pm Monday thru Thursday, 10am-8pm Friday thru Saturday",2024-10-19
705,Dispensary,DAAA-EYTV-RSHZ,Lucas Whaley,Lucas Whaley,104 N. 2nd st.,74455,Porum,Muskogee,(918) 510-9752,lucaswhaley@icloud.com,12PM to 8PM Monday to Saturday,2023-10-17
706,Dispensary,DAAA-41OF-AU9U,HWY 3 Health Oils and Supplements Inc.,HWY 3 HEALTH OILS AND SUPPLEMENTS INC,429044 STATE HIGHWAY 3,74562,RATTAN,Pushmataha,(580) 372-2500,howardboyett48@gmail.com,11:00 AM - 7:00 PM,2024-01-09
707,Dispensary,DAAA-9PTH-Q9YY,Peace Pipe Cannabis Company LLC,Peace Pipe Cannabis Company,17628 W 8TH ST S,74063-9333,SAND SPRINGS,Tulsa,9182467770,monks.amanda@yahoo.com,"10am to 5pm, 5 days a week M-F",2023-08-29
708,Dispensary,DAAA-4JH0-WIQD,"Toppers Herbal Center, LLC","Toppers Herbal Center, LLC",19272 STATE HIGHWAY 1E,74820,ADA,Pontotoc,5803108892,topperstobacco@gmail.com,11 a.m. - 8 p.m.,2024-02-10
709,Dispensary,DAAA-6YXD-D1FG,"Green Horizons, LLC",Flight 420,107 E RAY FINE BLVD,74954-5198,ROLAND,Sequoyah,9182356595,mike@greenhorizonsok.com,24 hours,2023-10-05
710,Dispensary,DAAA-TZM4-URNO,Skipperz Smokehouse,Skipperz Smokehouse,11290 W 51ST ST S,74063-3136,SAND SPRINGS,Tulsa,9186718669,skip@circlewwhitetails.com,10am-8pm,2022-12-13
711,Dispensary,DAAA-4J2K-YMIV,Needham Jo Enterprise LLC,The Great Barrier Reefer Medical Dispensary,3820 N ROCKWELL AVE STE C,73008-3379,BETHANY,Oklahoma,(405) 506-0309,greatbarrierreefermd@gmail.com,11:00am - 7:00pm,2023-10-02
712,Dispensary,DAAA-E1VK-NQYX,BEST BUDZ CANNIBUS DISPENSARY LLC,BEST BUDZ CANNIBUS DISPENSARY LLC,1509 N MAY AVE,73107-4734,OKLAHOMA CITY,Oklahoma,(405) 413-6517,bestbudzdispensary@yahoo.com,10AM-10PM,2023-11-02
713,Dispensary,DAAA-FKJO-UYRS,Custom Cannabis Bud Shop LLC,Custom Cannabis Bud Shop,120 N MISSION LN,74447-3965,OKMULGEE,Okmulgee,9187772079,customcannabisllc@gmail.com,10 am -12 midnight,2023-08-22
714,Dispensary,DAAA-N1TY-QPBV,Botanical Cloud Co. LLC,Botanical Cloud Co. LLC,104 W RAY FINE BLVD,74954-5299,ROLAND,Sequoyah,4798062868,botanicalcloud@outlook.com,9am-9pm,2023-11-07
715,Dispensary,DAAA-KI1O-XHGJ,Grass-Hopper Dispensaries,Grass-Hopper Dispensaries,5150 S MEMORIAL DR,74145-9008,TULSA,Tulsa,9182891053,grasshopperdispensaries@cox.net,10-9,2023-12-21
716,Dispensary,DAAA-EYG9-TFQF,Magic Leaf LLC,Magic Leaf LLC,4210 E 11TH ST,74112-4120,TULSA,Tulsa,9186134421,pam@vetaeliving.com,10AM-10PM,2023-12-27
717,Dispensary,DAAA-DQYU-98OL,old grove llc,old grove llc,11502 WALNUT LN,73448-9597,MARIETTA,Love,9407357971,oldgroveok@gmail.com,9:00am-5:00 pm,2023-07-26
718,Dispensary,DAAA-A84P-LGZC,TMDA Enterprise LLC,High 5 Headquarters,303 N SERVICE RD STE 101,74730-1600,CALERA,Bryan,8165360979,tracie@high5hq.com,24 hours,2023-07-17
719,Dispensary,DAAA-4N9I-CS8D,"Texoma Herb Co., LLC","Texoma Herb Co., LLC",707 W MAIN ST,73460-1734,TISHOMINGO,Johnston,5803875007,b@texomaherbco.com,Varies,2023-11-08
720,Dispensary,DAAA-4JVU-4HXG,Lit Leaf LLC,Lit Leaf LLC,2101 CLASSEN BLVD,73071-4209,NORMAN,Cleveland,4054569997,csiservicesokc@gmail.com,10a-8p,2022-11-08
721,Dispensary,DAAA-NYQX-5OXY,"OKMC, LLC",OKMC,1811 S ASPEN AVE,74012-5104,BROKEN ARROW,Tulsa,9182591149,josephdhall2017@gmail.com,9-9 M-SA 12-6 SU,2024-05-01
722,Dispensary,DAAA-D5RI-JLGP,GBCC LLC,Green Book Cannabis Co,1201 S ROCK ISLAND AVE,73036-4760,EL RENO,Canadian,(405) 956-8998,contact@greenbookcannabis.com,9am-10pm,2023-10-30
723,Dispensary,DAAA-MYR5-ESDP,L2C OF EDMOND LLC,L2C OF EDMOND LLC,2225 W EDMOND RD,73003-6303,EDMOND,Oklahoma,4059385729,licensetochilldispo@gmail.com,10AM to 12AM,2023-07-26
724,Dispensary,DAAA-VYZ2-M8K8,"CannVest Group, LLC",Mango Cannabis,127 W MAIN ST,73069-1308,NORMAN,Cleveland,2489616160,kevin@mangocannabis.com,Sunday - Thursday 10a-10p; Friday and Saturday 10a-12a,2024-03-08
725,Dispensary,DAAA-NYR1-DDOD,"The True Heads Cannabis Cultivation, LLC",The True Heads Cannabis Company,420 N 32ND ST,74401-2001,MUSKOGEE,Muskogee,7703694237,jamesstyres@hotmail.com,8:00 - 8:00,2023-08-08
726,Dispensary,DAAA-EY1V-ZNR4,"BandB'S Empire, LLC",Hempire Dispensary,902 E OWEN K GARRIOTT RD,73701-6134,ENID,Garfield,5802378289,ufc9001@yahoo.com,Mon-Thurs: 9am-7pm Fri-Sat: 9am-9pm Sun:11am-5pm,2024-01-02
727,Dispensary,DAAA-NYVV-OUDB,Cushman Cannabis and Company LLC,Cushman Cannabis and Company,217 W MOSES ST,74023-3237,CUSHING,Payne,9183060073,steven@cushmanllc.com,9-8,2024-04-24
728,Dispensary,DAAA-EJ01-NROQ,"Dispensary Holdings, LLC",Native Pure Dispensary,3930 W 6TH AVE,74074-1745,STILLWATER,Payne,(918) 970-4125,rob@oxmmj.com,10am -9pm,2024-05-30
729,Dispensary,DAAA-ZQJW-PHUQ,TULSA TREE HOUSE INC,TULSA TREE HOUSE INC,7842 S ELM PL,74011-4353,BROKEN ARROW,Tulsa,9189404641,tulsatreehouse@gmail.com,9A-9P 7 DAYS A WEEK,2023-12-07
